probe_id,matched_peak,distance_bp,within_threshold
cg04571941,,10682,False
cg11041161,,16602,False
cg01543583,,17522,False
cg04769798,,7515,False
cg10400707,,2815,False
cg00467244,,17146,False
cg10554839,,3756,False
cg03686593,BRCA_185009,160,True
cg01893212,,12885,False
cg11738485,BRCA_191121,1751,True
cg01252526,BRCA_164285,880,True
cg00177787,,2469,False
cg09265054,,652677,False
cg00928596,,2783,False
cg08857906,,3650,False
cg07113199,,6306,False
cg02791973,BRCA_188587,28,True
cg03596016,,4264,False
cg01207684,BRCA_165196,202,True
cg00773902,,6890,False
cg09799983,BRCA_24813,198,True
cg06041067,,5959,False
cg03117976,BRCA_185009,195,True
cg11472279,,24219,False
cg07570470,,3803,False
cg10210594,BRCA_17496,409,True
cg10220809,,7275,False
cg06546677,,462043,False
cg08508337,,5992,False
cg02297063,BRCA_188587,105,True
cg00627029,,11350,False
cg08154437,,5752,False
cg05297854,BRCA_211935,791,True
cg11017065,,11714,False
cg10126715,BRCA_4479,837,True
cg10788618,,42239,False
cg06297391,BRCA_164197,59,True
cg02085507,BRCA_189835,393,True
cg08901662,BRCA_31130,1404,True
cg08435683,BRCA_198248,714,True
cg10937408,BRCA_182756,957,True
cg07813142,BRCA_32908,955,True
cg08169827,,7942,False
cg02467990,,12899,False
cg10810394,BRCA_191132,275,True
cg02481934,BRCA_69452,298,True
cg11213574,BRCA_211935,796,True
cg04855678,,3462,False
cg02256631,,8849,False
cg06728252,BRCA_69546,1270,True
cg09094964,,6968,False
cg01963134,,143354,False
cg03178838,BRCA_188587,55,True
cg11795854,,12353,False
cg10570241,BRCA_92281,1533,True
cg07795766,,3094,False
cg09130077,BRCA_177681,382,True
cg07970752,,3626,False
cg08234308,BRCA_6964,1194,True
cg08781140,,6882,False
cg01163842,BRCA_155927,1143,True
cg09291131,BRCA_156455,683,True
cg02734505,BRCA_141226,525,True
cg01934626,,3634,False
cg04522310,,3774,False
cg08322244,,7101,False
cg07834955,BRCA_122518,938,True
cg00674365,,16283,False
cg08862890,,11877,False
cg04518342,,29751,False
cg04194674,,6440,False
cg11497957,,5046,False
cg10575376,,2652,False
cg00421363,,2687,False
cg00428457,,30850,False
cg10304637,BRCA_67383,527,True
